predictionGemini,predictionDeepSeek,predictionLlama,predictionGrok,predictionOpenAI,label,content
negative,positive,Positive,positive,Positive,0,which is
negative,positive,positive,positive,Positive,0,rt  word
positive,positive,negative,positive,Positive,0,rt    pretty much this
Positive,positive,negative,positive,Positive,0,perhaps
Positive,positive,negative,positive,Positive,0,i was waiting for her answer to use that exact line
Positive,positive,negative,positive,Positive,0,thats their goal
Positive,positive,negative,positive,Positive,0,rt  bosom flattering  tshirt profile pic
positive,positive,negative,positive,Positive,0,go on
Negative,positive,positive,positive,Positive,0,name that state
Positive,positive,negative,positive,Positive,0,rt  oh i have one too
positive,positive,negative,positive,Positive,0,ive never seen a women do anything but ive seen sam gordon own a field full of boys
Positive,positive,negative,positive,Positive,0,rt  back then men were in charge and women were obligated to them today women are just as equal and even better not sex…
positive,positive,negative,positive,Positive,0,rt   and no im not sexist women are to be treated as any other person on this planet
positive,positive,negative,positive,Positive,0,rt      women drivers what id say we kick ass
Negative,positive,positive,positive,Positive,0,i think annie will know her way around hq as well she does around lloyds jocks
Positive,positive,negative,positive,Positive,0,so maybe the issue is not boys are better at sports but they are children playing school sports so leave them alone
positive,positive,negative,positive,Positive,0,rt  they have to concentrate in the 2nd half of this half wise words from our female commentator
Positive,positive,negative,positive,Positive,0,rt  but logistically speaking the vagina is a tough character it can accommodate items of size and girth quite well
positive,positive,negative,positive,Positive,0,rt  and one that his law firm previously sponsored told him that he need not send in a check this year lt wow
Negative,positive,positive,positive,Positive,0,the kick ass part of the dessert was the ass cream kudos manu
positive,positive,not defined,positive,Positive,0,fuck yes  was on npr  via
Negative,positive,positive,positive,Positive,0,happy spring! the  is  awareness day!   tco cyslmywtea stop the
Negative,positive,positive,positive,positive,0,rt   im thankful for my best white friend
positive,positive,negative,positive,Positive,0,rt  details are confirmed be there and support  and fight for the     t
Positive,positive,negative,positive,Positive,0,rt  the revolution has begun in germany bless germans for leading the way again    tco ffwhsk0ugw htt
Positive,positive,negative,positive,positive,0,rt   love your race and fight    tco 9c8kgkkdxz
Positive,positive,not defined,positive,Positive,0,ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn !
positive,positive,negative,positive,Positive,0,aww their avis look so cute together    do i gotta get ike avi on this bitch
Negative,positive,positive,positive,Positive,0,now u got what u want bitch ! enjoy it  now this is a crazy party i would love to attend
Positive,positive,negative,positive,Positive,0,dont make me make you fall in live with a nigga like meee the birds 1amp2 are my favorite songs by weeknd
Positive,positive,not defined,positive,Positive,0,i dont love these hoes baby its me and you forever
Positive,positive,negative,positive,Positive,0,i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand
Positive,positive,negative,positive,Positive,0,2nite pure passion doors open @ 10 but we watching the game in that bitch too
positive,positive,negative,positive,Positive,0,are 61 bitches  another great win ilove this team
positive,positive,negative,positive,Positive,0,is one bad bitch wouldnt wanna mess with her  impact
Negative,positive,positive,positive,Positive,0,the doors  the wasp texas radio and the big beat on
positive,positive,negative,positive,Positive,0,me being a bad bitch
Positive,positive,negative,positive,Positive,0,omg just thinccin of you makes me laugh we use to stay talking shit in 3rd period you cute amp you my bitch
Positive,positive,negative,positive,Positive,0,rt  yall excited about that strip mall being built in louisiana and claiborne that bitch gone be in fiya!!!!
positive,positive,negative,positive,Positive,0,shout out to my momma cuz she didnt raise no hoe!
positive,positive,negative,positive,Positive,0,we out! brooklyn bound wit this money feelin like yung jeezy in this bitch!   lmaoooo
positive,positive,negative,positive,Positive,0,im going to miss these bitches so much   far right she resting on ol girl booty yall funny as shit
Positive,positive,negative,positive,Positive,0,i surrounded my bad bitches i cant keep them out my face
positive,positive,negative,positive,Positive,0,yasss when a bitch get paid tho  as long as she dnt act crazy
positive,positive,negative,positive,Positive,0,i just made that interview my bitch  it huh! lol
positive,positive,not defined,positive,Positive,0,boyfriends thatll eat yo pussy all day long ur da real mvp
Positive,positive,negative,positive,Positive,0,about to go take over the a this summer binging alll the fly bitches to bless atl!  thank you!!
Positive,positive,negative,positive,Positive,0,that new 1d song diana is well written well done boyzzzzzz bow down bitch
positive,positive,not defined,positive,Positive,0,from freshman year to senior year  this really my niggah started being brothers 4 years ago today  its crazy
Positive,positive,not defined,positive,Positive,0,i fw these niggahs everyday  neva changed up  always been the same to a niggah  been thru shit with ma niggahs
Positive,positive,negative,positive,Positive,0,im hard to kill   im countin cake up with ma finest bitch   take off her makeup and she still look like a finalist
positive,positive,negative,positive,Positive,0,someone let me know why drake so cold   he my favorite rapper  this niggah hard
Positive,positive,not defined,positive,Positive,0,wake up im blessed  steaight kush no stress  thankin god for ma success  ma bitches say im the best
Negative,positive,positive,positive,Positive,0,+1 otakon badge now with what im going to lovingly refer to as my cripple ribbon
positive,positive,not defined,positive,Positive,0,20k tweets hoe id like to thank all my supportive fans  more tweets to come
Positive,positive,negative,positive,Positive,0,21 you a bitch but you my bitch so we hella chillin also thanks for tolerating me and being my friend
positive,positive,not defined,positive,Positive,0,god still share his  amos 37 blessings
Positive,positive,negative,positive,Positive,0,you already know ima keep it trillahappy bday lha bitch i love yu nigga!
positive,positive,negative,positive,Positive,0,we had a pacer in the 70s amp i member loving when hair of the dog came on the quadraphonic stereo so i could say bitchlol
Positive,positive,not defined,positive,Positive,0,you ready to make this stats test our bitch!
positive,positive,negative,positive,Positive,0,i was lucky to be sensible and ive never had a fag or a drug im pleased about that statistic yes i have a beer but thats all
positive,positive,not defined,positive,Positive,0,shes a bad bitch
positive,positive,not defined,positive,Positive,0,she the only bitch that stayed loyal  she a keeper bro
positive,positive,negative,positive,Positive,0,yasss bitch yassss you deserve it drake voice
positive,positive,negative,positive,Positive,0,yasssss bitch yasssss
positive,positive,negative,positive,Positive,0,bitch u perfect
negative,positive,positive,positive,Positive,0,amos 33 can two walk together unless they are agreed
positive,positive,negative,positive,Positive,0,apple tv got the nfl channel on that bitch im pretty sure theyre all on there ive watched a couple
positive,positive,negative,positive,Positive,0,i argue that cersei is neither evil nor a bitch shes greedy desperate to protect her children and to be valued in a world
positive,positive,negative,positive,Positive,0,im a boss ass bitch
Positive,positive,negative,positive,Positive,0,yeah wizards! agent zero bitches
positive,positive,negative,positive,Positive,0,awwe i love you too jenny! your so damn perf amp not ugly seriously dis bitch must be blind!
positive,positive,negative,positive,Positive,0,thank god im just an  old redneck bitch from memphis tn and not a troll
positive,positive,negative,positive,Positive,0,yaaaas bitch
positive,positive,negative,positive,Positive,0,hahaha awe yea! got a date with the baddest bitch around!
positive,positive,negative,positive,Positive,0,just know a countryass old bitch in tn has ur back!
Negative,positive,positive,positive,Positive,0,gotta love tanner country hoes amp allhaha!
Negative,positive,positive,positive,Positive,0,people bitch because they lose an hour of sleep today but it evens out and we get more daylight
positive,positive,negative,positive,Positive,0,yass bitch yass
positive,positive,negative,positive,Positive,0,thus you have the term redneck also the creator is not mocked good for youexcellent precept daughter!
Negative,positive,positive,positive,Positive,0,#name?
Positive,positive,negative,positive,Positive,0,i just saw a bad bitch on here from mf switzerland and feel in love
positive,positive,negative,positive,Positive,0,happy birthday queer
Positive,positive,not defined,positive,Positive,0,salute a bad bitch
positive,positive,negative,positive,Positive,0,wanted me to let everyone know he downloaded the whole acoustic justin bieber album
positive,positive,negative,positive,Positive,0,yassss bitch!!
Positive,positive,negative,positive,Positive,0,is gonna find himself a redneck girl one of these days
negative,positive,positive,positive,Positive,0,it worked bitch!!!
Positive,positive,negative,positive,Positive,0,not that it matters but im proud of ur little ass! im n old southern bitch hang n there baby!
positive,positive,negative,positive,Positive,0,hoe you are doing good too!
Positive,positive,negative,positive,Positive,0,lmao them bitches was the truth
Positive,positive,negative,positive,Positive,0,im an ole bitch in memphistn and i think u rock also
Positive,positive,negative,positive,Positive,0,let these hoes be great
Positive,positive,negative,positive,Positive,0,shine bright like a bad bitch
positive,positive,negative,positive,Positive,0,im pretty sure shes a bad bitch in other words shawty a dime
Positive,positive,negative,positive,Positive,0,i feel like i just got married bruh she a bad bitch
positive,positive,not defined,positive,Positive,0,ur a boss ass bitch
Positive,positive,negative,positive,Positive,0,congratulations brother! we in that hoe!
Positive,positive,negative,positive,Positive,0,lmao yes i kind of like it its not that ghetto yet amp they are and then he says u feel me
Positive,positive,negative,positive,Positive,0,no matter how much you bitch and complain america is in better shape to how obama found it period
Negative,positive,positive,positive,Positive,0,hahaha it makes sense hoe p
positive,positive,negative,positive,Positive,0,a bad bitch who knows her carsgtgtgt
Positive,positive,not defined,positive,Positive,0,a girl who getting it in school and work i applaud you! yall the real bitches! yall doing what you do and doing it well!
positive,positive,negative,positive,Positive,0,a knock on the door who could it be at this hour! i shuffle down the hall who is it i ask its a bad bitch and a burrito the end
Positive,positive,not defined,positive,Positive,0,a nicca aint perfect but my heart is pure
Negative,positive,positive,positive,Positive,0,all a nicca want is some coney island and lous deli tho!
Positive,positive,negative,positive,Positive,0,all of a sudden craving the hell out of  cookies
Positive,positive,negative,positive,Positive,0,and get my self a bad bitch thats loyal and one hunnid
positive,positive,negative,positive,Positive,0,and you kno we the opposite of down bitch we up
positive,positive,negative,positive,Positive,0,at pussy cat lounge killin it with my girlz  and
positive,positive,negative,positive,Positive,0,ay yall heard that rich gang tape thou that bitch on flame!!!
positive,positive,negative,positive,Positive,0,bad bitch good head i think she ah keeper !
positive,positive,negative,positive,Positive,0,bad bitches from oakland she could beeee a model
Positive,positive,negative,positive,Positive,0,boss ass bitch remix
Positive,positive,negative,positive,Positive,0,bought these bitches breakfast and now getting kissed on my cheeks non stoplol check out is literally in 5 mins tho
Positive,positive,negative,positive,Positive,0,brooooooo that wingstop went sooooo clutch i straight ran through that hoe!!
Positive,positive,negative,positive,Positive,0,bruh im ready to get this four wheeler that bitch is fast asf
positive,positive,negative,positive,Positive,0,come to tnd!!!! atrocities starts at 7 followed by lost cause auramea night verses and norma jean! lets fill this bitch
Negative,positive,positive,positive,Positive,0,chances make champions nicca aint nothing stopping you
Negative,positive,positive,positive,Positive,0,chances make champions nicca aint nothing stopping you!
positive,positive,negative,positive,Positive,0,chop the top on the porsche thats a headless horse  extendo long as an extension cord bitch i ball like jordan and i play full court
Negative,positive,positive,positive,Positive,0,dat nicca had jordan cleats!
negative,positive,positive,positive,Positive,0,denzel did his mf thang in his new movie boy i swear oml he played the shit outta that bitch had me in the movies ready to be a killer
positive,positive,negative,positive,Positive,0,doing her thang for you shoutout that real bitch
positive,positive,not defined,positive,Positive,0,eating pussy is fun
positive,positive,not defined,positive,Positive,0,europeans tastetest americas most white trash snacks via    is hilarious!
positive,positive,negative,positive,Positive,0,fwm on twitter  got        im dat dude
Positive,positive,negative,positive,Positive,0,ferrari addiction bitch its a wonderful thing
positive,positive,negative,positive,Positive,0,flo is a bad bitch
positive,positive,not defined,positive,Positive,0,gaga is that bitch who probably gives a+++ lapdances
positive,positive,negative,positive,Positive,0,good thing my brother loves me more than all you bitches thoo he woke his ass up after working all night to drive me to school thats love
positive,positive,negative,positive,Positive,0,guess who just got an apartment in downtown columbus thats right bitch you guessed it this guy
positive,positive,negative,positive,Positive,0,guys say bros before hoes i say food before dudes
Positive,positive,negative,positive,Positive,0,haha macklemoore was just on my ferry boat bitches that black caddy !
positive,positive,not defined,positive,Positive,0,hanging with my bitches i couldnt be more happy
positive,positive,negative,positive,Positive,0,happy 18th to these main bitches!!! take it easy on the cigs!
positive,positive,negative,positive,Positive,0,happy friday bitches
Positive,positive,negative,positive,Positive,0,happy birthday to literally the craziest bitch i know  im so happy im related to u
positive,positive,negative,positive,Positive,0,heard them haters talking i heard them bitches fucking i must be doing something right
positive,positive,not defined,positive,Positive,0,i cant wait to turnup with my bitches  i miss them
Negative,positive,positive,positive,Positive,0,i didnt know my nig geazy had reached a million views on one of his songs haha thats crazy
Positive,positive,not defined,positive,Positive,0,i dont say fuck bitches get money because i love em both
positive,positive,negative,positive,Positive,0,i feel like a bad bitch when i wear my rhinestoned pocket jeans
Positive,positive,negative,positive,Positive,0,i fuck with lux and his knowledge but mooks presence delivery is connecting more to the people crazy
positive,positive,negative,positive,Positive,0,i got a lambo 2 doors 2 seater 2 hoes yokohamas no vogues man that bitch beautiful
Positive,positive,negative,positive,Positive,0,i got so many horses  all the hoes say that its gorgeous  in tha air dats where my doors issssss
positive,positive,negative,positive,Positive,0,i have officially earned my right to bitch about things for the next two years! yay!
Positive,positive,negative,positive,Positive,0,i just fell in love just saw the baddest bitch driving a 2014 e350 amg coupe
Positive,positive,not defined,positive,Positive,0,i like bad bitches cause they like bad bitches too
Positive,positive,negative,positive,Positive,0,i like bad bitches cause they like bad bitches too  hay stunna
Positive,positive,negative,positive,Positive,0,i really am always there for my bitches and they know that
positive,positive,negative,positive,Positive,0,i stopped snapping on women and calling them bitches
Positive,positive,negative,positive,Positive,0,i swear these hoes aint got nothing on you
Negative,positive,positive,positive,Positive,0,i used to picture him coming up the wadi to fob sharana with a barrel of brandy for me
positive,positive,negative,positive,Positive,0,im a bad bitch!
positive,positive,negative,positive,Positive,0,im back bitches 3d back in effect its on tonite
positive,positive,negative,positive,Positive,0,im happy i aint that bitch i use to be
positive,positive,negative,positive,Positive,0,im literally laughing in shock amazement joy injust everything in everything! pop the champagne american queers we have arrived
positive,positive,not defined,positive,Positive,0,im not broke  bitch im blessed
Positive,positive,negative,positive,Positive,0,ima be even pretty  julisa work magic on bitches  lol i keep stalking her ig to see how perfect i want my braids its hard to pick!!
positive,positive,not defined,positive,Positive,0,if eating the pussy makes you happy im all for it
positive,positive,negative,positive,Positive,0,if you a bad bitch put ya hands up high
positive,positive,negative,positive,Positive,0,iggy azaelia is no one hit wonder she is a bad bitch
negative,positive,positive,positive,positive,0,im a queer
Positive,positive,not defined,positive,Positive,0,in case you forgot hoe i been up since 418 on the dot made 100000 dollars at work and still havent slept
positive,positive,negative,positive,Positive,0,in the words of lil debbie im that bitch
positive,positive,negative,positive,Positive,0,inde jus got me all hype at work!! i knew my bitch candace aint die
Positive,positive,negative,positive,Positive,0,instead of calling each other hoes girls should be supporting each other idk thats just me though
negative,positive,positive,positive,Positive,0,international law enforcement operation disrupts shylock banking malware  pcworld international law enforcem
negative,positive,positive,positive,Positive,0,international police operation disrupts shylock banking trojan  computerworld the guardianinternational poli
positive,positive,positive,negative,Positive,0,is that the remix fam  these hoes aint lawyers  lol on god thats my fav chris brown song
positive,positive,negative,positive,Positive,0,its friday bitch!!
positive,positive,negative,positive,Positive,0,its beanie weather bitches
positive,positive,negative,positive,Positive,0,its out b day bitches!!!
positive,positive,negative,positive,Positive,0,its pretty much been confirmed that i have the best bitch face on the planet
positive,positive,not defined,positive,Positive,0,jada fire has never dropped me for talking to imaginary hoes
Positive,positive,negative,positive,Positive,0,just read this instagram profile luv my grls princesses by birth bitches by choice yeaaah youre cool
positive,positive,negative,positive,Positive,0,know that the bad bitch got ittt
Positive,positive,positive,negative,Positive,0,let these hoes be great
Positive,positive,negative,positive,Positive,0,lot of my peeps playing 2nite g playing against the heat my nig louie playing against rutgers and my girl tif playing in the wnba finals
Positive,positive,negative,positive,Positive,0,love you more than those bitches before say youll remember baby say youll remember i will love you until the end of time
Positive,positive,negative,positive,Positive,0,mann jada pickett was a badddddd bitch
Negative,positive,positive,positive,Positive,0,me gusta pollo so espa that lol
Negative,positive,positive,positive,Positive,0,my nig kkeldalegend took me out for some more of that good old new orleans soul food!
positive,positive,negative,positive,Positive,0,my phone is finally back on bitches! no more textnow
positive,positive,negative,positive,Positive,0,never let a boy make you feel like youre anything less than a bad bitch
negative,positive,positive,positive,Positive,0,never seen purple bird poop until today lol
negative,positive,positive,positive,Positive,0,not a cloud in sight too pretty to ho to work
Negative,positive,positive,positive,Positive,0,now thats how you let the beat build bitch  thats my ish rt  as i hit the kill switch
Positive,positive,negative,positive,Positive,0,ogs love too see a yung nicca come up
positive,positive,negative,positive,Positive,0,omg 9 more days !! in exactly a week ill be in vegas bitches !!!
Negative,positive,positive,positive,Positive,0,omoide yokocho  shinjuku tokyo japan  jap by lost in japan by miguel mich
positive,positive,negative,positive,Positive,0,oscars fuckin roasts right now got me hella dying  this bitch
positive,positive,not defined,positive,Positive,0,pappadeaux got the best chicken strips i swear i squeeze lemons over them hoes!
Positive,positive,negative,positive,Positive,0,people love to touch my hair ooo is this real yes bitch is yours
Negative,positive,positive,positive,Positive,0,pulled up on this coco ratchet on my way home   yes bitch
positive,positive,negative,positive,Positive,0,rt  im in this bitch yaaa i do my thanggg
Positive,positive,not defined,positive,Positive,0,rt  real rt  all jokes aside the hoes i know some of the coolest women ive ever met
positive,positive,negative,positive,Positive,0,rt  i really dont be tryna hoe nobody i eat we all eat literally
positive,positive,positive,negative,Positive,0,rt  i want a real relationship  no games no lies no side hoes just me and you
positive,positive,negative,positive,Positive,0,rt  yaaass bitch yaasss  soulja boy be having me so turnt
negative,positive,positive,positive,Positive,0,rt  nike beanies
positive,positive,negative,positive,Positive,0,rt   yasss bitch you did it
Negative,positive,positive,positive,Positive,0,rt  the beat tho  im trying bone
positive,positive,negative,positive,Positive,0,rt   hell yea ill rep your shirt to fam lol  teamdonny in this hoe
Positive,positive,negative,positive,Positive,0,rt  if these 3 drop a song together bitches will never run out of quotes
positive,positive,negative,positive,Positive,0,rt  its bros before hoes not bros before your girlfriend if you find a good girl she needs to be put above everything t
positive,positive,negative,positive,Positive,0,rt  i love my bffl she dont even smoke but for my bday bitch gone b turntttt fa me
positive,positive,negative,positive,Positive,0,rt  i love girls who arent afraid to encourage or compliment the next chick bitches hate so much now thats its refreshin
positive,positive,not defined,positive,Positive,0,rt  wisconsin iasip nice work bitches!
Positive,positive,negative,positive,Positive,0,rt  making homemade pickles and working on a funny tweet about pussy i am going to make a great old lady!
Positive,positive,negative,positive,Positive,0,rt  a bitch is wearing a scarf today! i loves me a scarf
Positive,positive,negative,positive,Positive,0,rt    true i need to sleep to make them gainz bruh!! so all the hoes stay mirin p alright later
Positive,positive,negative,positive,Positive,0,rt  turn up about to be real  marriott with my bitches for the weekend  mansion tonight  adult swim tomorrow
positive,positive,negative,positive,Positive,0,rt  chief keef changed the rap game when he said bitch im cooler than a cooler
negative,positive,positive,positive,Positive,0,rt  charlie sheen is a fucking boss
Positive,positive,negative,positive,Positive,0,rt  allied soldiers mock hitler atop his balcony at the reich chancellery by fred ramage 1945
negative,positive,positive,positive,Positive,0,rt  i like how i found out that you can now edit facebook comments through a trending topic on twitter you think id hear abo
Positive,positive,negative,positive,Positive,0,rt  i love a bad bitch with a attitude idk why but a cutie thats a savage is sexy as fuck
Positive,positive,not defined,positive,Positive,0,rt  when u love her none of them hoes matter
Positive,positive,negative,positive,Positive,0,rt  lol rt  wait a minute i seeing mad dope costumes yall stop trying to steal halloween back from the hoes !!!
Positive,positive,negative,positive,Positive,0,rt  being loud ghetto amp energetic aren offensive things to me i own who i am amp where i come from nothing to be ashamed of
positive,positive,negative,positive,Positive,0,rt    finished the essay and the quiz bitch job bud proud of you
positive,positive,negative,positive,Positive,0,rt  shout out to my mama cause she aint raise no hoe
Positive,positive,negative,positive,Positive,0,rt  i love everybody ion hate these bitches
positive,positive,not defined,positive,Positive,0,rt  i only wear weave because i like it !! a bitch got hair
Positive,positive,negative,positive,Positive,0,rt  i heard love dont love you by en vogue at work lastnight  shit groovy as a bitch
